symbol,score,price,rsi,squeeze,volume_spike
SOL/USDT:USDT,5,87.99,60.2,True,False
XRP/USDT:USDT,5,1.4038,60.46,True,False
DOGE/USDT:USDT,5,0.09622,56.36,True,False
ADA/USDT:USDT,5,0.2678,59.57,True,False
FARTCOIN/USDT:USDT,5,0.1584,59.76,True,False
WIF/USDT:USDT,5,0.1709,59.23,True,False
LTC/USDT:USDT,5,54.96,68.71,True,False
ENA/USDT:USDT,5,0.1082,70.31,True,False
XLM/USDT:USDT,5,0.16153,52.9,True,False
ROSE/USDT:USDT,5,0.01275,72.67,True,False
ARB/USDT:USDT,5,0.1023,69.31,True,False
OP/USDT:USDT,5,0.1213,64.52,True,False
INJ/USDT:USDT,5,3.086,77.31,True,False
BTC/USDT:USDT,4,71301.6,61.01,True,False
ETH/USDT:USDT,4,2103.49,64.76,True,False
SUI/USDT:USDT,4,1.0041,65.36,True,False
PIPPIN/USDT:USDT,4,0.3527,49.56,True,False
PEPE/USDT:USDT,4,3e-06,57.96,True,False
TRUMPOFFICIAL/USDT:USDT,4,2.931,54.83,True,False
LINK/USDT:USDT,4,9.22,64.13,True,False
WLD/USDT:USDT,4,0.3643,58.89,True,False
NEAR/USDT:USDT,4,1.383,84.67,True,False
BNB/USDT:USDT,4,659.3,67.32,True,False
AVAX/USDT:USDT,4,9.797,61.42,True,False
AAVE/USDT:USDT,4,113.03,54.65,True,False
ENSO/USDT:USDT,4,1.3108,68.13,True,False
VVV/USDT:USDT,4,6.179,73.48,True,False
PUMPFUN/USDT:USDT,4,0.002121,60.98,True,False
DOT/USDT:USDT,4,1.531,60.9,True,False
MYX/USDT:USDT,4,0.3175,37.92,True,False
FILECOIN/USDT:USDT,4,0.891,58.56,False,False
FORM/USDT:USDT,4,0.295,66.46,True,False
BCH/USDT:USDT,4,458.52,71.93,True,False
HBAR/USDT:USDT,4,0.09569,48.44,True,False
MEME/USDT:USDT,4,0.000611,62.87,True,False
SEI/USDT:USDT,4,0.06621,58.1,False,False
VIRTUAL/USDT:USDT,4,0.73,66.12,True,False
TIA/USDT:USDT,4,0.3442,68.01,True,False
