symbol,score,price,rsi,squeeze,volume_spike
XRP/USDT:USDT,5,1.4371,74.85,True,False
ZEC/USDT:USDT,5,220.96,59.54,True,False
WLD/USDT:USDT,5,0.3746,71.11,True,False
MEMES/USDT:USDT,5,0.00183,88.67,False,True
FARTCOIN/USDT:USDT,5,0.1687,77.85,True,False
WIF/USDT:USDT,5,0.1783,70.29,True,False
APT/USDT:USDT,5,0.946,52.32,True,False
MYX/USDT:USDT,5,0.3127,53.35,True,False
ARB/USDT:USDT,5,0.1049,76.15,False,True
FILECOIN/USDT:USDT,5,0.894,58.97,True,False
BTC/USDT:USDT,4,72673.5,73.04,True,False
ETH/USDT:USDT,4,2144.45,73.5,True,False
SOL/USDT:USDT,4,91.1,69.6,True,False
PEPE/USDT:USDT,4,4e-06,80.38,False,False
LINK/USDT:USDT,4,9.392,72.45,True,False
AVAX/USDT:USDT,4,10.126,73.8,True,False
BNB/USDT:USDT,4,671.4,75.54,True,False
AAVE/USDT:USDT,4,117.31,69.87,False,False
ENA/USDT:USDT,4,0.1142,87.72,False,False
DOT/USDT:USDT,4,1.533,62.56,True,False
LTC/USDT:USDT,4,56.28,75.26,True,False
MELANIA/USDT:USDT,4,0.1372,88.07,False,True
BCH/USDT:USDT,4,469.25,73.82,True,False
OP/USDT:USDT,4,0.1255,74.47,False,False
XLM/USDT:USDT,4,0.16642,79.62,True,False
UNI/USDT:USDT,4,4.13,76.46,True,False
