symbol,score,price,rsi,squeeze,volume_spike
XRP/USDT:USDT,5,1.4095,62.67,True,False
PIPPIN/USDT:USDT,5,0.35534,50.65,True,False
TRUMPOFFICIAL/USDT:USDT,5,2.978,58.96,True,False
NEAR/USDT:USDT,5,1.385,84.87,True,True
ADA/USDT:USDT,5,0.2709,63.58,True,False
FARTCOIN/USDT:USDT,5,0.161,63.54,True,False
WIF/USDT:USDT,5,0.1733,62.68,True,False
LTC/USDT:USDT,5,55.36,72.13,True,False
ENA/USDT:USDT,5,0.1091,72.26,True,False
HBAR/USDT:USDT,5,0.09629,52.04,True,False
ROSE/USDT:USDT,5,0.01275,72.67,True,False
ARB/USDT:USDT,5,0.1029,71.03,True,False
OP/USDT:USDT,5,0.1222,67.65,True,False
INJ/USDT:USDT,5,3.107,79.0,True,False
BTC/USDT:USDT,4,71523.2,62.43,True,False
ETH/USDT:USDT,4,2141.02,69.74,True,False
SOL/USDT:USDT,4,90.11,67.19,True,False
POWER/USDT:USDT,4,0.12411,56.72,True,False
SUI/USDT:USDT,4,1.0124,67.29,True,False
DOGE/USDT:USDT,4,0.0973,60.0,True,False
PEPE/USDT:USDT,4,3e-06,60.31,True,False
LINK/USDT:USDT,4,9.323,67.84,True,False
WLD/USDT:USDT,4,0.3653,59.82,True,False
BNB/USDT:USDT,4,661.5,68.67,True,False
AVAX/USDT:USDT,4,9.92,66.17,True,False
AAVE/USDT:USDT,4,114.38,57.98,True,False
ENSO/USDT:USDT,4,1.3097,67.89,True,False
VVV/USDT:USDT,4,6.251,74.55,True,False
PUMPFUN/USDT:USDT,4,0.002153,64.09,True,False
DOT/USDT:USDT,4,1.544,63.91,True,False
MYX/USDT:USDT,4,0.3185,38.99,True,False
FILECOIN/USDT:USDT,4,0.893,59.29,False,False
FORM/USDT:USDT,4,0.297,67.48,True,False
BCH/USDT:USDT,4,460.76,73.87,True,False
SEI/USDT:USDT,4,0.06679,60.83,False,False
VIRTUAL/USDT:USDT,4,0.7374,68.65,True,False
TIA/USDT:USDT,4,0.3462,69.46,True,False
